"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","lng","lat","formation","geological_group","member","stratscale","zone","zone_type","localsection","localbed","localbedunit","localorder","regionalsection","regionalbed","regionalbedunit","regionalorder","stratcomments","cc","state","county","latlng_basis","latlng_precision","altitude_value","altitude_unit","geogscale","geogcomments","cx_int_no"
"2318","occ","","","270","Dendrograptus sp.","genus","","","Dendrograptus","genus","33551","Tremadoc","","486.4","477.1","60989","-105.591667","47.416668","Deadwood","","","","","","","","","","","","","","""lower Tremadoc""","US","Montana","","based on political unit","minutes","","","","",""
"2319","occ","","","270","Hallograptus sp.","genus","","","Hallograptus","genus","33673","Tremadoc","","486.4","477.1","60989","-105.591667","47.416668","Deadwood","","","","","","","","","","","","","","""lower Tremadoc""","US","Montana","","based on political unit","minutes","","","","",""
"2342","occ","","","272","Staurograptus sp.","genus","","","Staurograptus","genus","33571","Tremadoc","","486.4","477.1","61163","-73.609169","42.643333","Schaghticoke","","","","","","","","","","","","","","""earliest Tremadoc""","US","New York","Rensselear","based on political unit","seconds","","","basin","",""
"2343","occ","","","272","Dictyonema sp.","genus","","","Dictyonema","genus","33553","Tremadoc","","486.4","477.1","61163","-73.609169","42.643333","Schaghticoke","","","","","","","","","","","","","","""earliest Tremadoc""","US","New York","Rensselear","based on political unit","seconds","","","basin","",""
"2391","occ","","","275","Dictyonema sp.","genus","","","Dictyonema","genus","33553","Tremadoc","","486.4","477.1","60989","-105.591667","47.416668","Deadwood","","","","","","","","","","","","","","""Lower Ord., upper Tremadoc, Zone B""","US","Montana","","based on political unit","minutes","","","","SW Richey Field- Williston Basin",""
"2397","occ","","","276","Dendroidea indet.","order","","","Dendroidea","order","33535","Tremadoc","","486.4","477.1","61236","-113.441109","38.882500","House","","","","","","","","","","","","","","""Tremadoc, Zones B and C""","US","Utah","","based on nearby landmark","seconds","","","basin","""Ibex region, western Utah""",""
"2420","occ","","","277","Dictyonema sp.","genus","","","Dictyonema","genus","33553","Tremadoc","","486.4","477.1","60871","-73.212502","44.475834","Highgate","","","","","","","","","","","","","","""Tremadocian""","US","Vermont","","based on political unit","seconds","","","basin","NW Vermont [St. Albans area?]",""
"2451","occ","","","280","Dictyonema flabelliforme","species","378031","recombined as","Rhabdinopora flabelliformis","species","378029","Tremadoc","","486.4","477.1","60994","-4.150000","52.933334","","","","","","","","","","","","","","","""Selenopeltis Province (N. Amer. is Batyurid Province)""","UK","Wales","","based on nearby landmark","minutes","","","","",""
"2461","occ","","","281","? Didymograptus sp.","genus","","","Didymograptus","genus","33655","Stairsian","Whiterockian","483.4","457.3","61153","-117.921112","38.868889","Valmy","","","formation","","","","","","","","","","","""uncertain late Tremadoc to Llandeilo, correlates with Goodwin Ls.""","US","Nevada","","based on political unit","seconds","","","outcrop","The collection, given the number U.S.G.S. Fossil Locality 1273-CO, was made on the west side of Crum Canyon at an approximate elevation of 6400 feet in the center, S4, sec. 20, T. 30 N., R. 46 E, Mt. Lewis quadrangle, Nevada. Footage coordinates, based on the Nevada 10,000 foot grid are E 456,800 ft., N 2,075,800 ft. Some parts of the enclosing limestone","21"
"2517","occ","","","284","Bryograptus sp.","genus","","","Bryograptus","genus","33544","Demingian","","486.85","483.4","16152","-105.591667","47.416668","Deadwood","","","bed","Leiostegium-Kainella","trilobite","S.W. Richey","10205","ft","bottom to top","","","","","""L. Ord. upper Tremadoc, Zone D""","US","Montana","McCone","based on political unit","minutes","","","","C SE NE sec. 33, T. 22 N., R 48E.\r\n\r\nCircle (the only town in the county!) is: 47°25′1″N, 105°35′19″W ","559"
"2558","occ","","","286","Callograptus sp.","genus","","","Callograptus","genus","33545","Arenig","","477.1","468","60989","-105.591667","47.416668","Deadwood","","","","","","","","","","","","","","""lower ord., middle? Arenig""","US","Montana","","based on political unit","minutes","","","","","21"
"2559","occ","","","286","Clonograptus sp.","genus","","","Clonograptus","genus","33548","Arenig","","477.1","468","60989","-105.591667","47.416668","Deadwood","","","","","","","","","","","","","","""lower ord., middle? Arenig""","US","Montana","","based on political unit","minutes","","","","","21"
"2560","occ","","","286","Dendrograptus sp.","genus","","","Dendrograptus","genus","33551","Arenig","","477.1","468","60989","-105.591667","47.416668","Deadwood","","","","","","","","","","","","","","""lower ord., middle? Arenig""","US","Montana","","based on political unit","minutes","","","","","21"
"2561","occ","","","286","Dictyonema sp.","genus","","","Dictyonema","genus","33553","Arenig","","477.1","468","60989","-105.591667","47.416668","Deadwood","","","","","","","","","","","","","","""lower ord., middle? Arenig""","US","Montana","","based on political unit","minutes","","","","","21"
"2562","occ","","","286","Mastigograptus sp.","genus","","","Mastigograptus","genus","33808","Arenig","","477.1","468","60989","-105.591667","47.416668","Deadwood","","","","","","","","","","","","","","""lower ord., middle? Arenig""","US","Montana","","based on political unit","minutes","","","","","21"
"2563","occ","","","286","Ptilograptus sp.","genus","","","Ptilograptus","genus","33565","Arenig","","477.1","468","60989","-105.591667","47.416668","Deadwood","","","","","","","","","","","","","","""lower ord., middle? Arenig""","US","Montana","","based on political unit","minutes","","","","","21"
"2599","occ","","","287","? Bryograptus sp.","genus","","","Bryograptus","genus","33544","Tulean","","481.7","475.3","60989","-110.215553","47.153610","Deadwood","","","group of beds","Hintzeia celsaora","trilobite","43-22A","9400-9500","ft","top to bottom","","","","","""L. Ord.. upper Arenig"" Zone G","US","Montana","","based on political unit","seconds","","","basin","","31"
"2600","occ","","","287","Graptolithina indet.","subclass","","","Graptolithina","subclass","33534","Tulean","","481.7","475.3","60989","-110.215553","47.153610","Deadwood","","","group of beds","Hintzeia celsaora","trilobite","43-22A","9400-9500","ft","top to bottom","","","","","""L. Ord.. upper Arenig"" Zone G","US","Montana","","based on political unit","seconds","","","basin","","31"
"2602","occ","","","288","Triograptus sp.","genus","","","Triograptus","genus","33573","Arenig","","477.1","468","60919","-137.000000","68.166664","Lower Road River","Road River","","formation","Bryograptus - Clonograptus","graptolite","","","","","","","","","""prob. Lower Arenig.""  Road River is really a group, but not all of it has been split into new formations.  In this zonation scheme, the Bryograptus - Clonograptus zone was beneath the Tetragraptus approximatus zone and above the Staurograptus zone.  This probably spans the Anisograptus matanensis to Paradelograptus kinnegraptoides zones given Jackson & Lenz 2006.","CA","Yukon","","based on political unit","minutes","","","","""Richardson Mtns. Yukon Territory, Canada""","21"
"2603","occ","","","288","Bryograptus sp.","genus","","","Bryograptus","genus","33544","Arenig","","477.1","468","60919","-137.000000","68.166664","Lower Road River","Road River","","formation","Bryograptus - Clonograptus","graptolite","","","","","","","","","""prob. Lower Arenig.""  Road River is really a group, but not all of it has been split into new formations.  In this zonation scheme, the Bryograptus - Clonograptus zone was beneath the Tetragraptus approximatus zone and above the Staurograptus zone.  This probably spans the Anisograptus matanensis to Paradelograptus kinnegraptoides zones given Jackson & Lenz 2006.","CA","Yukon","","based on political unit","minutes","","","","""Richardson Mtns. Yukon Territory, Canada""","21"
"2604","occ","","","288","Didymograptus cf. primigenius","species","378281","","Anisograptus matanensis","species","378278","Arenig","","477.1","468","60919","-137.000000","68.166664","Lower Road River","Road River","","formation","Bryograptus - Clonograptus","graptolite","","","","","","","","","""prob. Lower Arenig.""  Road River is really a group, but not all of it has been split into new formations.  In this zonation scheme, the Bryograptus - Clonograptus zone was beneath the Tetragraptus approximatus zone and above the Staurograptus zone.  This probably spans the Anisograptus matanensis to Paradelograptus kinnegraptoides zones given Jackson & Lenz 2006.","CA","Yukon","","based on political unit","minutes","","","","""Richardson Mtns. Yukon Territory, Canada""","21"
"2760","occ","","","297","Dictyonema sp.","genus","","","Dictyonema","genus","33553","Rangerian","","471.3","470.3","25411","-116.847504","39.092220","Antelope Valley","Pogonip","","member","Orthidiella","brachiopod","","","","","","","","","""M. Ord., Whiterockian."" Was given as ""basal 'slabby limestone'"" That should be Orthidiella zone (= Zone L).","US","Nevada","","based on political unit","seconds","","","","","1079"
