name,lat_NS,long_EW,elevation,q,q_uncertainty,T_grad_mean,T_grad_uncertainty,T_grad_mean_cor,tc_mean,tc_uncertainty,total_depth_MD,geo_lithology,geo_stratigraphy,Region,Quality_Code
AHTNA INC 1,62.3,-145.492,535.36,69.0,,34.4,,,2.0,,,,,,Ux.Mx.-------
AHTNA INC A-01,62.19,-145.411,423.45,78.0,,31.3,,,2.5,,,,,,Ux.Mx.-------
BEAR CK UNIT 1,57.628,-155.862,292.01,71.0,,35.7,,,2.0,,,,,,Ux.Mx.-------
BECHAROF 1,57.784,-157.11,59.44,81.0,,40.4,,,2.0,,,,,,Ux.Mx.-------
BERING RIV UNIT 1,60.264,-144.21,65.29,79.0,,31.8,,,2.5,,,,,,Ux.Mx.-------
BERING RIV UNIT 2,60.21,-144.165,1.68,81.0,,32.3,,,2.5,,,,,,Ux.Mx.-------
BIG RIV A-01,55.936,-159.782,76.58,129.0,,64.3,,,2.0,,,,,,Ux.Mx.-------
CANOE BAY UNIT 1,55.523,-161.247,34.71,81.0,,40.5,,,2.0,,,,,,Ux.Mx.-------
CATHEDRAL RIV UNIT 1,55.734,-162.122,28.66,67.0,,33.6,,,2.0,,,,,,Ux.Mx.-------
CHAIX HILLS 1/A,60.037,-141.152,312.47,95.0,,38.2,,,2.5,,,,,,Ux.Mx.-------
CORE HOLE 1,59.571,-139.523,23.1,66.0,,33.1,,,2.0,,,,,,Ux.Mx.-------
CORE HOLE 3,59.257,-138.939,16.71,68.0,,34.0,,,2.0,,,,,,Ux.Mx.-------
DANGEROUS RIV UNIT 1,59.407,-139.237,12.63,56.0,,27.9,,,2.0,,,,,,Ux.Mx.-------
DAVID RIV USA 1-A,55.863,-161.569,13.83,76.0,,38.1,,,2.0,,,,,,Ux.Mx.-------
DC_MW05-22,62.079,-158.197,181.42,106.0,,29.1,,,3.6,,,,,,Ux.Mx.-------
DC_MW05-23a,62.079,-158.197,181.42,95.0,,24.9,,,3.8,,,,,,Ux.Mx.-------
DC_MW05-23b,62.079,-158.197,181.42,104.0,,29.7,,,3.5,,,,,,Ux.Mx.-------
DC_MW07-11,62.079,-158.197,181.42,77.0,,21.0,,,3.6,,,,,,Ux.Mx.-------
DOYON LTD 1,65.649,-142.141,497.73,71.0,,35.6,,,2.0,,,,,,Ux.Mx.-------
DOYON LTD 3,66.805,-141.717,521.28,89.0,,44.5,,,2.0,,,,,,Ux.Mx.-------
DUKTOTH RIV UNIT 1,60.165,-142.778,21.6,58.0,,29.2,,,2.0,,,,,,Ux.Mx.-------
EUREKA 2,61.952,-147.142,979.16,57.0,,28.4,,,2.0,,,,,,Ux.Mx.-------
HOODOO LK UNIT USA 1,55.843,-161.022,34.37,59.0,,29.4,,,2.0,,,,,,Ux.Mx.-------
HOODOO LK UNIT USA 2,55.809,-160.972,69.65,73.0,,36.5,,,2.0,,,,,,Ux.Mx.-------
KALIAKH RIV UNIT 1,60.136,-143.024,30.0,63.0,,31.6,,,2.0,,,,,,Ux.Mx.-------
KALIAKH RIV UNIT 2/RD,60.157,-143.039,31.34,105.0,,41.9,,,2.5,,,,,,Ux.Mx.-------
KONIAG CHEVRON USA 1,56.916,-157.046,16.14,94.0,,47.2,,,2.0,,,,,,Ux.Mx.-------
MALASPINA UNIT 1-A,59.797,-139.991,17.19,38.0,,15.1,,,2.5,,,,,,Ux.Mx.-------
MOOSE CK UNIT 1,62.106,-145.811,581.07,77.0,,31.0,,,2.5,,,,,,Ux.Mx.-------
NAKNEK,58.701,-156.195,16.5,74.0,,49.1,,,1.5,,,,,,Ux.Mx.-------
NAPATUK CK 1,60.648,-162.959,14.49,77.0,,30.9,,,2.5,,,,,,Ux.Mx.-------
NENANA 1,64.581,-149.638,156.41,97.0,,38.7,,,2.5,,,,,,Ux.Mx.-------
NIMIUK PT 1,66.74,-162.114,10.36,101.0,,40.3,,,2.5,,,,,,Ux.Mx.-------
NULATO UNIT 1,64.633,-158.567,312.96,61.0,,24.4,,,2.5,,,,,,Ux.Mx.-------
PAINTER CK 1,57.163,-157.433,91.51,87.0,,43.3,,,2.0,,,,,,Ux.Mx.-------
PALMER PRJ,59.236,-135.445,22.84,81.0,,23.5,,,3.4,,,,,,Ux.Mx.-------
PEBBLE PRS,59.901,-155.279,306.64,70.0,,27.8,,,2.5,,,,,,Ux.Mx.-------
PORT HEIDEN UNIT 1,56.967,-158.685,8.42,66.0,,32.9,,,2.0,,,,,,Ux.Mx.-------
RAINBOW FED 1,62.431,-146.234,855.8,118.0,,47.1,,,2.5,,,,,,Ux.Mx.-------
RAINBOW FED 2,62.509,-146.071,740.04,59.0,,29.6,,,2.0,,,,,,Ux.Mx.-------
RDM_T96-012,68.071,-162.861,274.24,49.0,,20.5,,,2.4,,,,,,Ux.Mx.-------
RDM_T96-013,68.071,-162.861,274.24,31.0,,16.6,,,1.9,,,,,,Ux.Mx.-------
RIOU BAY 1,59.897,-141.425,12.14,77.0,,38.6,,,2.0,,,,,,Ux.Mx.-------
SALMONBERRY LK UNIT 1,62.282,-146.265,683.45,73.0,,29.4,,,2.5,,,,,,Ux.Mx.-------
SANDY RIV FED 1,56.215,-160.173,70.29,79.0,,39.4,,,2.0,,,,,,Ux.Mx.-------
SWANSON,60.679,-151.069,30.1,59.0,,23.7,,,2.5,,,,,,Ux.Mx.-------
TAWAWE LK UNIT 1,62.109,-146.607,699.31,63.0,,31.7,,,2.0,,,,,,Ux.Mx.-------
TAZLINA 1,62.138,-146.493,945.85,103.0,,41.4,,,2.5,,,,,,Ux.Mx.-------
UGASHIK 1,57.426,-157.738,30.63,93.0,,46.7,,,2.0,,,,,,Ux.Mx.-------
WHISTLER PRJ,61.985,-152.599,432.55,71.0,,25.0,,,2.8,,,,,,Ux.Mx.-------
WHITE RIV UNIT 1,60.08,-142.421,118.25,57.0,,28.8,,,2.0,,,,,,Ux.Mx.-------
WHITE RIV UNIT 2,60.073,-142.147,176.09,62.0,,31.1,,,2.0,,,,,,Ux.Mx.-------
WHITE RIV UNIT 3,60.073,-142.21,34.44,53.0,,26.7,,,2.0,,,,,,Ux.Mx.-------
YAKUTAT 1,59.526,-139.674,22.15,43.0,,21.4,,,2.0,,,,,,Ux.Mx.-------
YAKUTAT 2,59.514,-139.587,14.14,59.0,,29.4,,,2.0,,,,,,Ux.Mx.-------
YAKUTAT 3,59.52,-139.625,18.12,60.0,,30.2,,,2.0,,,,,,Ux.Mx.-------
CONRAD,48.3333,-111.916,1116.0,33.0,,20.0,,,1.7,,,,,,Ux.Mx.-------
DDH-1,45.0417,-109.946,2792.0,52.0,,18.0,,,3.0,,,,,,Ux.Mx.-------
DDH-1,48.23,-115.911,1682.0,73.0,,19.0,,,3.7,,,,,,Ux.Mx.-------
DDH-1,47.04,-112.376,1597.0,87.0,,23.0,,,3.7,,,,,,Ux.Mx.-------
DDH-1,47.5083,-121.353,838.0,57.0,,14.0,,,3.9,,,,,,Ux.Mx.-------
DDH-12,47.6817,-121.648,1176.0,60.0,,20.0,,,3.0,,,,,,Ux.Mx.-------
DDH-2,45.0583,-109.956,2865.0,57.0,,16.0,,,3.4,,,,,,Ux.Mx.-------
DDH-2,48.915,-117.596,780.0,122.0,,20.0,,,6.0,,,,,,Ux.Mx.-------
DDH-C,48.0533,-118.706,963.0,59.0,,15.0,,,3.7,,,,,,Ux.Mx.-------
GEBOFLD,43.8,-108.233,1357.0,66.0,,39.0,,,1.7,,,,,,Ux.Mx.-------
KEV-SUNB,48.75,-111.833,1053.0,37.0,,23.0,,,1.7,,,,,,Ux.Mx.-------
LEAD,44.35,-103.75,1618.0,76.0,,23.0,,,3.3,,,,,,Ux.Mx.-------
LEAD,44.35,-103.75,1559.0,79.0,,20.8,,,3.9,,,,,,Ux.Mx.-------
LTSDDRFL,44.3667,-109.0,1755.9,54.0,,31.0,,,1.7,,,,,,Ux.Mx.-------
DDH-1,48.4567,-122.633,129.0,37.0,,12.0,,,2.9,,,,,,Ux.Mx.-------
DDH-1,48.7167,-119.59,987.0,75.0,,21.0,,,3.5,,,,,,Ux.Mx.-------
DDH-1,46.3517,-122.106,853.0,69.0,,18.0,,,3.8,,,,,,Ux.Mx.-------
DDH-2,48.36,-118.878,1134.0,65.0,,19.0,,,3.3,,,,,,Ux.Mx.-------
DDH-3,48.3617,-118.871,1182.0,69.0,,22.0,,,3.1,,,,,,Ux.Mx.-------
DDH-7011,48.995,-118.598,1147.0,71.0,,22.0,,,3.1,,,,,,Ux.Mx.-------
MV-22,46.7567,-112.42,1524.0,85.0,,29.0,,,3.0,,,,,,Ux.Mx.-------
WW-WEST,47.8733,-118.123,573.0,90.0,,27.0,,,3.2,,,,,,Ux.Mx.-------
RDH-CTSH,45.3183,-118.101,875.0,42.0,,34.0,,,1.2,,,,,,Ux.Mx.-------
RDH-CTSH,45.3183,-118.101,875.0,42.0,,27.0,,,1.5,,,,,,Ux.Mx.-------
RDH-CTSH,45.3183,-118.101,875.0,30.0,,17.0,,,1.7,,,,,,Ux.Mx.-------
BIG SPGS,39.0117,-95.4783,365.0,48.0,,32.0,,,1.5,,,,,,Ux.Mx.-------
CHAPMAN,30.1833,-96.09,76.0,61.0,,47.0,,,1.3,,,,,,Ux.Mx.-------
DDH-1,47.9333,-108.566,1585.0,22.0,,18.0,,,2.3,,,,,,Ux.Mx.-------
DDH-1,46.94,-110.495,2259.0,69.0,,28.0,,,2.4,,,,,,Ux.Mx.-------
DOE-MI12,46.275,-114.066,1156.5,80.0,,51.0,,,1.5,,,,,,Ux.Mx.-------
DOE-MI12,46.275,-114.066,1156.5,120.0,,76.0,,,1.5,,,,,,Ux.Mx.-------
DOE-MI2,47.0517,-114.286,1062.2,72.0,,33.0,,,2.1,,,,,,Ux.Mx.-------
DOE-MI2,47.0517,-114.286,1062.2,74.0,,21.0,,,3.4,,,,,,Ux.Mx.-------
MCKINNEY,33.25,-96.6517,198.0,51.0,,44.0,,,1.1,,,,,,Ux.Mx.-------
MCKINNEY,33.25,-96.6517,198.0,50.0,,20.0,,,2.5,,,,,,Ux.Mx.-------
MILES CY,46.6,-106.078,824.0,45.0,,26.0,,,1.7,,,,,,Ux.Mx.-------
CRIPPLE,36.8167,-81.1,702.0,43.0,,10.0,,,4.0,,,,,,Ux.Mx.-------
DDH-1,46.48,-112.12,1706.0,76.0,,24.0,,,3.0,,,,,,Ux.Mx.-------
DDH-1,46.3383,-112.078,1859.0,76.0,,19.0,,,3.9,,,,,,Ux.Mx.-------
