item_index,stock_code,description,invoice_count,total_quantity,total_revenue
0,85123A,WHITE HANGING HEART T-LIGHT HOLDER,5464,96744,267102.06
1,85099B,JUMBO BAG RED RETROSPOT,4013,98768,185566.47
2,22423,REGENCY CAKESTAND 3 TIER,3918,27577,344563.25
3,21212,PACK OF 72 RETROSPOT CAKE CASES,3118,96560,52997.200000000004
4,20725,LUNCH BAG RED RETROSPOT,3056,40942,72292.85
5,84879,ASSORTED COLOUR BIRD ORNAMENT,2807,81809,132187.91999999998
6,47566,PARTY BUNTING,2674,28378,149187.05000000002
7,21232,STRAWBERRY CERAMIC TRINKET BOX,2435,38981,50760.48
8,22383,LUNCH BAG SUKI  DESIGN,2398,25461,43932.56
9,20727,LUNCH BAG  BLACK SKULL.,2351,27126,46422.49
10,21931,JUMBO STORAGE BAG SUKI,2329,29503,62285.28
11,22197,SMALL POPCORN HOLDER,2322,89898,80920.64
12,22386,JUMBO BAG PINK POLKADOT,2245,39840,77111.91
13,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,2192,27732,58275.45
14,22382,LUNCH BAG SPACEBOY DESIGN,2153,20458,34436.39
15,22469,HEART OF WICKER SMALL,2151,29037,51127.759999999995
16,84991,60 TEATIME FAIRY CAKE CASES,2127,54716,27404.22
17,21080,SET/20 RED RETROSPOT PAPER NAPKINS,2123,31823,26031.969999999998
18,22384,LUNCH BAG PINK POLKADOT,2106,21037,34506.659999999996
19,22139,RETROSPOT TEA SET CERAMIC 11 PC,2093,10675,53214.310000000005
20,20728,LUNCH BAG CARS BLUE,2067,24892,42784.74
21,21754,HOME BUILDING BLOCK WORD,2066,7847,48079.69
22,82494L,WOODEN FRAME ANTIQUE WHITE,2059,16069,48342.450000000004
23,22457,NATURAL SLATE HEART CHALKBOARD,2046,15771,48671.05
24,20724,RED RETROSPOT CHARLOTTE BAG,2035,32487,35595.63
25,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,2030,18979,53415.310000000005
26,22086,PAPER CHAIN KIT 50'S CHRISTMAS,2018,36581,123141.54000000001
27,82482,WOODEN PICTURE FRAME WHITE FINISH,2006,17198,42546.58
28,21977,PACK OF 60 PINK PAISLEY CAKE CASES,1993,56794,28490.98
29,22470,HEART OF WICKER LARGE,1952,18551,55898.87
30,20726,LUNCH BAG WOODLAND,1926,22341,38949.729999999996
31,22138,BAKING SET 9 PIECE RETROSPOT,1914,9383,45966.16
32,21034,REX CASH+CARRY JUMBO SHOPPER,1902,4240,4028.0
33,21790,VINTAGE SNAP CARDS,1888,27942,24095.6
34,85099C,JUMBO  BAG BAROQUE BLACK WHITE,1878,31266,60377.49
35,85099F,JUMBO BAG STRAWBERRY,1855,37337,69565.89
36,22178,VICTORIAN GLASS HANGING T-LIGHT,1816,40748,53330.49
37,21181,PLEASE ONE PERSON METAL SIGN,1810,25117,51005.82000000001
38,84946,ANTIQUE SILVER TEA GLASS ETCHED,1769,38064,51329.72
39,21733,RED HANGING HEART T-LIGHT HOLDER,1760,17999,51556.97
40,22077,6 RIBBONS RUSTIC CHARM,1751,17569,32213.589999999997
41,22355,CHARLOTTE BAG SUKI DESIGN,1742,32692,46633.439999999995
42,20685,DOORMAT RED RETROSPOT,1725,9974,67859.56
43,22112,CHOCOLATE HOT WATER BOTTLE,1721,11556,60763.12
44,22090,PAPER BUNTING RETROSPOT,1703,16808,50753.100000000006
45,21755,LOVE BUILDING BLOCK WORD,1696,5774,35641.990000000005
46,22111,SCOTTIE DOG HOT WATER BOTTLE,1689,10218,52192.310000000005
47,48138,DOORMAT UNION FLAG,1664,10175,67757.63
48,21175,GIN + TONIC DIET METAL SIGN,1659,20905,44391.43
49,22666,RECIPE BOX PANTRY YELLOW DESIGN,1657,10951,34489.05
50,21929,JUMBO BAG PINK VINTAGE PAISLEY,1619,25954,50334.1
51,22356,CHARLOTTE BAG PINK POLKADOT,1584,20237,21252.44
52,22114,HOT WATER BOTTLE TEA AND SYMPATHY,1583,12462,63517.75
53,20719,WOODLAND CHARLOTTE BAG,1573,24945,28287.32
54,22379,RECYCLING BAG RETROSPOT,1570,16075,35408.96
55,21928,JUMBO BAG SCANDINAVIAN PAISLEY,1542,24780,47095.72
56,21731,RED TOADSTOOL LED NIGHT LIGHT,1537,29715,49539.689999999995
57,21843,RED RETROSPOT CAKE STAND,1527,6290,66620.2
58,84970S,HANGING HEART ZINC T-LIGHT HOLDER,1523,27231,22946.039999999997
59,21231,SWEETHEART CERAMIC TRINKET BOX,1482,19767,24618.13
60,21213,PACK OF 72 SKULL CAKE CASES,1481,40733,21734.850000000002
61,85152,HAND OVER THE CHOCOLATE   SIGN,1460,16645,32064.760000000002
62,84992,72 SWEETHEART FAIRY CAKE CASES,1460,35438,17585.16
63,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,1427,19597,61721.990000000005
64,21166,COOK WITH WINE METAL SIGN,1425,20128,38560.16
65,84978,HANGING HEART JAR T-LIGHT HOLDER,1425,21903,28734.82
66,22699,ROSES REGENCY TEACUP AND SAUCER,1424,13339,39134.89
67,20712,JUMBO BAG WOODLAND ANIMALS,1415,17957,38029.89
68,84836,ZINC METAL HEART DECORATION,1408,20251,24805.670000000002
69,22083,PAPER CHAIN KIT RETROSPOT,1401,14008,41379.060000000005
70,20972,PINK CREAM FELT CRAFT TRINKET BOX,1397,20761,25151.84
71,22326,ROUND SNACK BOXES SET OF4 WOODLAND,1391,15690,45046.68
72,21485,RETROSPOT HEART HOT WATER BOTTLE,1385,7927,38840.8
73,22720,SET OF 3 CAKE TINS PANTRY DESIGN,1385,7493,38158.39
74,22149,FELTCRAFT 6 FLOWER FRIENDS,1382,12922,26855.260000000002
75,20723,STRAWBERRY CHARLOTTE BAG,1379,18485,20677.62
76,22629,SPACEBOY LUNCH BOX,1368,21223,38750.2
77,22727,ALARM CLOCK BAKELIKE RED,1363,9595,37970.11
78,22697,GREEN REGENCY TEACUP AND SAUCER,1353,10112,31534.920000000002
79,48194,DOORMAT HEARTS,1349,7847,49633.29
80,82580,BATHROOM METAL SIGN,1336,13400,7558.360000000001
81,22630,DOLLY GIRL LUNCH BOX,1333,18363,33980.0
82,21930,JUMBO STORAGE BAG SKULLS,1321,13657,27923.57
83,20713,JUMBO BAG OWLS,1314,21199,41390.09
84,21791,VINTAGE HEADS AND TAILS CARD GAME,1313,18585,23993.23
85,21975,PACK OF 60 DINOSAUR CAKE CASES,1303,31575,15381.95
86,22189,CREAM HEART CARD HOLDER,1299,18363,54598.73
87,22551,PLASTERS IN TIN SPACEBOY,1299,15779,26485.1
88,21621,VINTAGE UNION JACK BUNTING,1292,6945,60668.54
89,48187,DOORMAT NEW ENGLAND,1282,7425,47265.11
90,22554,PLASTERS IN TIN WOODLAND ANIMALS,1275,13854,23329.359999999997
91,82486,WOOD S/3 CABINET ANT WHITE FINISH,1274,4899,39382.5
92,22726,ALARM CLOCK BAKELIKE GREEN,1273,7954,33737.59
93,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,1259,40839,25475.050000000003
