Listing date (UTC),Issuer Common Name:,DstIP,Subject Common Name:,extra,url,Listing reason,Status:,Malware binary (MD5 hash),Timestamp (UTC),SHA1 fingerprint,Issuer:,DstPort,Subject:,Common Name,SSL Version:,id,Fingerprint (SHA1):
2023-11-29 19:18:00,Sectigo RSA Domain Validation Secure Server CA,34.149.87.45,araic.asus.com,,,Asus,,,,,"C=GB, ST=Greater Manchester, L=Salford, O=Sectigo Limited, CN=Sectigo RSA Domain Validation Secure Server CA",,,araic.asus.com,,,
2015-12-23 15:33:54,COMODO RSA Domain Validation Secure Server CA,,monosuflex.com,This SSL certificate was spotted passively or by using scanning techniques. Therefore SSLBL is not able to provide any referencing malware binaries.,https://sslbl.abuse.ch/intel/9f32a24bd7f8bd9e5a7ebc543c8d3e5c5b095384,Gozi MITM,"Blacklisted (Reason: Gozi MITM, Listing date: 2015-12-23 15:33:54)",,,9f32a24bd7f8bd9e5a7ebc543c8d3e5c5b095384,"C=GB, ST=Greater Manchester, L=Salford, O=COMODO CA Limited, CN=COMODO RSA Domain Validation Secure Server CA",,"OU=Domain Control Validated, OU=Free SSL, CN=monosuflex.com",monosuflex.com,,0,9f32a24bd7f8bd9e5a7ebc543c8d3e5c5b095384
2015-12-23 07:52:07,"C=XX, L=Default City, O=Default Company Ltd",185.36.102.95,"C=XX, L=Default City, O=Default Company Ltd",# of referencing malware binaries: 1,https://sslbl.abuse.ch/intel/68d9045b9ae896ed4e26d1d0e3e1a6825af1d977,TorrentLocker C&C,"Blacklisted (Reason: TorrentLocker C&C, Listing date: 2015-12-23 07:52:07)",133e5b7898814c3593b04513d479d2cf,2015-12-23 07:22:11,68d9045b9ae896ed4e26d1d0e3e1a6825af1d977,"C=XX, L=Default City, O=Default Company Ltd",443,"C=XX, L=Default City, O=Default Company Ltd","C=XX, L=Default City, O=Default Company Ltd",TLS 1.2,1,68d9045b9ae896ed4e26d1d0e3e1a6825af1d977
2015-12-23 07:52:06,"C=XX, L=Default City, O=Default Company Ltd",193.218.145.50,"C=XX, L=Default City, O=Default Company Ltd",# of referencing malware binaries: 1,https://sslbl.abuse.ch/intel/1513e1070a6353408ccdf550f8cfb92829e2ce38,TorrentLocker C&C,"Blacklisted (Reason: TorrentLocker C&C, Listing date: 2015-12-23 07:52:06)",133e5b7898814c3593b04513d479d2cf,2015-12-23 07:22:11,1513e1070a6353408ccdf550f8cfb92829e2ce38,"C=XX, L=Default City, O=Default Company Ltd",443,"C=XX, L=Default City, O=Default Company Ltd","C=XX, L=Default City, O=Default Company Ltd",TLS 1.2,2,1513e1070a6353408ccdf550f8cfb92829e2ce38
2015-12-23 07:52:05,"C=XX, L=Default City, O=Default Company Ltd",213.159.214.196,"C=XX, L=Default City, O=Default Company Ltd",# of referencing malware binaries: 1,https://sslbl.abuse.ch/intel/794d0f0ff4ada97436722c92020d1bd3c53aee55,TorrentLocker C&C,"Blacklisted (Reason: TorrentLocker C&C, Listing date: 2015-12-23 07:52:05)",133e5b7898814c3593b04513d479d2cf,2015-12-23 07:22:11,794d0f0ff4ada97436722c92020d1bd3c53aee55,"C=XX, L=Default City, O=Default Company Ltd",443,"C=XX, L=Default City, O=Default Company Ltd","C=XX, L=Default City, O=Default Company Ltd",TLS 1.2,3,794d0f0ff4ada97436722c92020d1bd3c53aee55
2015-12-22 12:27:23,aledbevic.ie,199.7.136.88,aledbevic.ie,# of referencing malware binaries: 1,https://sslbl.abuse.ch/intel/99a2698a141989ad69c5d4295b1cef08c1f35117,Dridex C&C,"Blacklisted (Reason: Dridex C&C, Listing date: 2015-12-22 12:27:23)",cacb79e05cf54490a7067aa1544083fa,2015-12-22 12:23:56,99a2698a141989ad69c5d4295b1cef08c1f35117,"C=CH, O=Tathangha Prytofvit NL, CN=aledbevic.ie",8143,"C=CH, O=Tathangha Prytofvit NL, CN=aledbevic.ie",aledbevic.ie,TLS 1.2,4,99a2698a141989ad69c5d4295b1cef08c1f35117
2015-12-22 12:27:22,omestsinosteti.ae,151.80.142.33,omestsinosteti.ae,# of referencing malware binaries: 1,https://sslbl.abuse.ch/intel/bbe9ee9d5c04b4aedf00586a526b500103e176bf,Dridex C&C,"Blacklisted (Reason: Dridex C&C, Listing date: 2015-12-22 12:27:22)",cacb79e05cf54490a7067aa1544083fa,2015-12-22 12:23:56,bbe9ee9d5c04b4aedf00586a526b500103e176bf,"C=CH, O=Prnfis Sinfsth Inc., CN=omestsinosteti.ae",1743,"C=CH, O=Prnfis Sinfsth Inc., CN=omestsinosteti.ae",omestsinosteti.ae,TLSv1,5,bbe9ee9d5c04b4aedf00586a526b500103e176bf
2015-12-22 06:04:16,localhost,199.68.198.117,localhost,# of referencing malware binaries: 2,https://sslbl.abuse.ch/intel/f53a5c0e2c9f9f1708b1cf27afcd72cc167e842d,Gootkit C&C,"Blacklisted (Reason: Gootkit C&C, Listing date: 2015-12-22 06:04:16)",8a6db953713202cb9620eaba7275af01,2015-12-21 18:39:03,f53a5c0e2c9f9f1708b1cf27afcd72cc167e842d,"C=GB, ST=Yorks, L=York, O=MyCompany Ltd., OU=IT, CN=localhost",80,"C=GB, ST=Yorks, L=York, O=MyCompany Ltd., OU=IT, CN=localhost",localhost,SSLv3,6,f53a5c0e2c9f9f1708b1cf27afcd72cc167e842d
2015-12-22 06:04:16,localhost,199.68.198.117,localhost,# of referencing malware binaries: 2,https://sslbl.abuse.ch/intel/f53a5c0e2c9f9f1708b1cf27afcd72cc167e842d,Gootkit C&C,"Blacklisted (Reason: Gootkit C&C, Listing date: 2015-12-22 06:04:16)",c33c256b9f07b2adcf607e90bd417fc6,2015-12-21 09:28:17,f53a5c0e2c9f9f1708b1cf27afcd72cc167e842d,"C=GB, ST=Yorks, L=York, O=MyCompany Ltd., OU=IT, CN=localhost",80,"C=GB, ST=Yorks, L=York, O=MyCompany Ltd., OU=IT, CN=localhost",localhost,SSLv3,6,f53a5c0e2c9f9f1708b1cf27afcd72cc167e842d
2015-12-22 05:49:26,COMODO RSA Domain Validation Secure Server CA,,qiqiqiqiqiqi.com,This SSL certificate was spotted passively or by using scanning techniques. Therefore SSLBL is not able to provide any referencing malware binaries.,https://sslbl.abuse.ch/intel/ff3fc6a70c0ab04cc38697c30b9a8117b9f44696,Gozi MITM,"Blacklisted (Reason: Gozi MITM, Listing date: 2015-12-22 05:49:26)",,,ff3fc6a70c0ab04cc38697c30b9a8117b9f44696,"C=GB, ST=Greater Manchester, L=Salford, O=COMODO CA Limited, CN=COMODO RSA Domain Validation Secure Server CA",,"OU=Domain Control Validated, OU=PositiveSSL, CN=qiqiqiqiqiqi.com",qiqiqiqiqiqi.com,,7,ff3fc6a70c0ab04cc38697c30b9a8117b9f44696
