strike,maturity,type,market_price
70.0,0.25,call,30.5659
75.0,0.25,call,25.6337
80.0,0.25,call,20.7465
85.0,0.25,call,15.9728
90.0,0.25,call,11.4648
95.0,0.25,call,7.4887
100.0,0.25,call,4.3576
105.0,0.25,call,2.2416
110.0,0.25,call,1.034
115.0,0.25,call,0.4432
120.0,0.25,call,0.1853
125.0,0.25,call,0.0794
130.0,0.25,call,0.0363
70.0,0.5,call,31.3883
75.0,0.5,call,26.5701
80.0,0.5,call,21.8573
85.0,0.5,call,17.3316
90.0,0.5,call,13.1257
95.0,0.5,call,9.4153
100.0,0.5,call,6.371
105.0,0.5,call,4.0824
110.0,0.5,call,2.5105
115.0,0.5,call,1.5137
120.0,0.5,call,0.9176
125.0,0.5,call,0.5726
130.0,0.5,call,0.3748
70.0,1.0,call,33.3879
75.0,1.0,call,28.7091
80.0,1.0,call,24.1931
85.0,1.0,call,19.9075
90.0,1.0,call,15.9457
95.0,1.0,call,12.4157
100.0,1.0,call,9.4134
105.0,1.0,call,6.9904
110.0,1.0,call,5.1349
115.0,1.0,call,3.7783
120.0,1.0,call,2.8216
125.0,1.0,call,2.163
130.0,1.0,call,1.7162
