date,NORTHfield,BANCOR,PETRAX,SHOPwell,MEDIQ,GRIDCO
2021-01-04,102.1162,99.9336,99.7858,99.8479,101.1606,98.5951
2021-01-05,104.4355,99.7602,101.069,100.9268,103.2901,97.5259
2021-01-06,104.0617,99.3261,102.7935,99.4497,103.0142,96.7933
2021-01-07,104.1667,99.9276,101.1431,100.877,104.1486,97.386
2021-01-08,105.4058,99.5741,101.2001,100.3423,103.8863,97.6564
2021-01-11,104.5411,99.0181,99.4774,98.5739,102.5528,97.2012
2021-01-12,103.1289,98.9371,101.9153,98.9262,102.4777,96.6442
2021-01-13,102.2113,100.3641,102.3394,97.9461,102.8399,98.4509
2021-01-14,102.4149,101.0291,103.2616,97.8371,101.8395,98.4046
2021-01-15,102.1944,101.5674,104.9721,99.0992,102.571,99.3419
2021-01-18,101.2759,102.5955,106.0684,98.5066,103.2866,99.641
2021-01-19,102.7791,104.4946,111.6776,98.4616,102.8331,100.159
2021-01-20,103.0356,105.4619,112.8615,96.4357,102.636,100.9871
2021-01-21,103.3839,106.3439,112.978,96.5413,103.0999,101.6039
2021-01-22,103.6919,106.5622,111.8887,97.1054,103.2837,102.4716
2021-01-25,105.3202,107.1726,112.05,97.3248,104.1317,102.8752
2021-01-26,104.9149,107.1389,110.6927,97.8315,103.5057,103.6349
2021-01-27,105.4998,107.9167,109.1546,98.3477,104.4765,103.2601
2021-01-28,105.1966,107.8967,106.4592,98.3301,105.1262,102.5692
2021-01-29,105.7126,106.6896,106.0666,96.4335,105.9963,102.4805
2021-02-01,105.7301,105.922,108.1482,98.8692,104.2283,103.194
2021-02-02,107.972,106.8238,107.0779,101.1973,104.6156,103.2424
2021-02-03,106.3623,107.0248,108.1194,99.6912,105.0267,102.4383
2021-02-04,107.4935,107.3655,108.3276,100.2509,106.3236,103.2536
2021-02-05,108.2644,107.713,108.9137,101.5478,106.9717,104.0127
2021-02-08,107.8936,105.1543,109.6558,103.7374,107.2388,103.2823
2021-02-09,107.7596,105.0228,109.6002,102.2143,106.4484,102.4202
2021-02-10,108.1494,104.8347,110.6264,102.2674,107.7319,102.67
2021-02-11,111.2289,103.6564,109.925,104.8123,111.0589,102.5785
2021-02-12,111.3431,103.4764,112.4958,104.7066,112.1432,102.4844
2021-02-15,109.6244,103.422,112.8759,105.4722,111.9274,101.9952
2021-02-16,110.457,103.87,113.9615,106.0188,113.7434,102.6235
2021-02-17,113.1935,105.6242,117.1316,105.9836,115.5801,103.8478
2021-02-18,114.4104,106.985,117.4092,108.0014,115.5937,105.8307
2021-02-19,112.5601,104.7984,112.4254,104.997,112.6572,105.941
2021-02-22,112.1514,103.3838,113.8471,103.897,110.8513,105.9955
2021-02-23,113.0895,103.1782,116.9478,104.7972,113.3261,106.6811
2021-02-24,115.3874,103.8066,115.5936,109.263,113.4197,106.9928
2021-02-25,114.4282,103.4162,115.5816,108.9402,114.0152,108.1685
2021-02-26,114.309,102.1914,112.6044,107.4852,111.2273,107.9883
2021-03-01,113.6479,101.7641,112.1891,105.1855,109.7561,108.098
2021-03-02,114.5915,101.5522,116.055,104.3016,109.7377,108.0344
2021-03-03,110.6819,102.6231,115.9514,101.1243,111.6358,108.6345
2021-03-04,111.3355,102.1898,116.2102,99.5236,112.4491,108.2451
2021-03-05,111.5768,103.4513,117.5205,100.3035,113.3443,108.295
2021-03-08,112.8119,105.2959,120.4868,102.6217,113.4122,108.5585
2021-03-09,110.8353,106.1202,119.641,103.434,112.4146,108.3452
2021-03-10,111.0215,107.1282,120.3485,104.0432,112.8316,108.903
2021-03-11,109.5229,106.883,119.2929,103.0362,112.9951,108.1754
2021-03-12,109.4584,106.5833,120.0181,104.0139,111.9559,108.5164
2021-03-15,112.3982,105.7772,119.0005,104.2399,111.7389,109.5662
2021-03-16,112.4706,105.1094,120.0222,103.48,113.0104,109.6825
2021-03-17,114.5103,104.9148,127.2839,106.1874,115.0676,110.2404
2021-03-18,113.5223,103.8469,126.0612,104.3404,114.7536,109.0742
2021-03-19,114.4686,105.0352,125.5045,106.5676,115.0456,110.484
2021-03-22,115.1571,106.3481,124.2707,106.9352,117.1847,110.6057
2021-03-23,112.2925,103.771,116.6667,101.6184,114.3633,109.8321
2021-03-24,111.7218,103.987,116.3598,101.3481,114.0877,109.708
2021-03-25,112.4263,102.9929,118.2244,102.8562,114.0936,110.1665
2021-03-26,111.4904,102.2765,117.8686,101.9693,113.1455,109.2596
2021-03-29,110.7628,103.062,114.0555,101.8504,112.5432,109.8293
2021-03-30,111.537,100.5285,114.2902,102.2298,112.1769,108.663
2021-03-31,112.7962,100.4195,118.4511,103.9487,115.5977,108.5974
2021-04-01,110.3808,100.6074,119.4541,102.833,113.4311,108.0644
2021-04-02,111.2966,100.6481,119.5927,103.1199,112.4727,107.6893
